close,time
58451.97,2021-11-20 11:16:00
58452.32,2021-11-20 11:17:00
58465.68,2021-11-20 11:18:00
58457.73,2021-11-20 11:19:00
58449.78,2021-11-20 11:20:00
58451.71,2021-11-20 11:21:00
58431.68,2021-11-20 11:22:00
58466.55,2021-11-20 11:23:00
58489.43,2021-11-20 11:24:00
58456.74,2021-11-20 11:25:00
58471.52,2021-11-20 11:26:00
58473.04,2021-11-20 11:27:00
58441.08,2021-11-20 11:28:00
58498.0,2021-11-20 11:29:00
58489.79,2021-11-20 11:30:00
58490.24,2021-11-20 11:31:00
58488.41,2021-11-20 11:32:00
58524.51,2021-11-20 11:33:00
58520.29,2021-11-20 11:34:00
58543.17,2021-11-20 11:35:00
58570.31,2021-11-20 11:36:00
58563.5,2021-11-20 11:37:00
58584.62,2021-11-20 11:38:00
58574.39,2021-11-20 11:39:00
58580.53,2021-11-20 11:40:00
58504.41,2021-11-20 11:41:00
58494.06,2021-11-20 11:42:00
58503.83,2021-11-20 11:43:00
58521.52,2021-11-20 11:44:00
58571.99,2021-11-20 11:45:00
58579.02,2021-11-20 11:46:00
58619.99,2021-11-20 11:47:00
58630.0,2021-11-20 11:48:00
58658.0,2021-11-20 11:49:00
58653.87,2021-11-20 11:50:00
58635.96,2021-11-20 11:51:00
58643.53,2021-11-20 11:52:00
58643.53,2021-11-20 11:53:00
58644.77,2021-11-20 11:54:00
58641.27,2021-11-20 11:55:00
58640.06,2021-11-20 11:56:00
58603.37,2021-11-20 11:57:00
58620.67,2021-11-20 11:58:00
58625.67,2021-11-20 11:59:00
58645.24,2021-11-20 12:00:00
58648.02,2021-11-20 12:01:00
58648.03,2021-11-20 12:02:00
58652.33,2021-11-20 12:03:00
58606.99,2021-11-20 12:04:00
58600.88,2021-11-20 12:05:00
58575.27,2021-11-20 12:06:00
58582.4,2021-11-20 12:07:00
58578.04,2021-11-20 12:08:00
58566.08,2021-11-20 12:09:00
58657.09,2021-11-20 12:10:00
58690.53,2021-11-20 12:11:00
58754.05,2021-11-20 12:12:00
58763.76,2021-11-20 12:13:00
58760.01,2021-11-20 12:14:00
58677.99,2021-11-20 12:15:00
58673.64,2021-11-20 12:16:00
58672.02,2021-11-20 12:17:00
58695.87,2021-11-20 12:18:00
58741.05,2021-11-20 12:19:00
58710.73,2021-11-20 12:20:00
58697.04,2021-11-20 12:21:00
58704.97,2021-11-20 12:22:00
58642.67,2021-11-20 12:23:00
58638.36,2021-11-20 12:24:00
58657.44,2021-11-20 12:25:00
58644.79,2021-11-20 12:26:00
58633.14,2021-11-20 12:27:00
58606.98,2021-11-20 12:28:00
58604.74,2021-11-20 12:29:00
58614.22,2021-11-20 12:30:00
58562.74,2021-11-20 12:31:00
58552.63,2021-11-20 12:32:00
58567.78,2021-11-20 12:33:00
58602.95,2021-11-20 12:34:00
58647.3,2021-11-20 12:35:00
58657.94,2021-11-20 12:36:00
58651.98,2021-11-20 12:37:00
58640.03,2021-11-20 12:38:00
58607.61,2021-11-20 12:39:00
58558.98,2021-11-20 12:40:00
58530.43,2021-11-20 12:41:00
58532.13,2021-11-20 12:42:00
58513.41,2021-11-20 12:43:00
58505.98,2021-11-20 12:44:00
58492.02,2021-11-20 12:45:00
58518.67,2021-11-20 12:46:00
58529.93,2021-11-20 12:47:00
58583.44,2021-11-20 12:48:00
58554.51,2021-11-20 12:49:00
58531.48,2021-11-20 12:50:00
58551.34,2021-11-20 12:51:00
58548.87,2021-11-20 12:52:00
58553.68,2021-11-20 12:53:00
58555.5,2021-11-20 12:54:00
58577.65,2021-11-20 12:55:00
58602.96,2021-11-20 12:56:00
58582.02,2021-11-20 12:57:00
58573.99,2021-11-20 12:58:00
58562.1,2021-11-20 12:59:00
58574.35,2021-11-20 13:00:00
58564.36,2021-11-20 13:01:00
58569.64,2021-11-20 13:02:00
58548.39,2021-11-20 13:03:00
58544.1,2021-11-20 13:04:00
58575.79,2021-11-20 13:05:00
58566.52,2021-11-20 13:06:00
58605.73,2021-11-20 13:07:00
58603.63,2021-11-20 13:08:00
58632.24,2021-11-20 13:09:00
58667.56,2021-11-20 13:10:00
58669.42,2021-11-20 13:11:00
58644.66,2021-11-20 13:12:00
58649.63,2021-11-20 13:13:00
58599.06,2021-11-20 13:14:00
58511.0,2021-11-20 13:15:00
58509.23,2021-11-20 13:16:00
58517.28,2021-11-20 13:17:00
58493.61,2021-11-20 13:18:00
58484.64,2021-11-20 13:19:00
58457.01,2021-11-20 13:20:00
58503.19,2021-11-20 13:21:00
58487.28,2021-11-20 13:22:00
58499.97,2021-11-20 13:23:00
58508.57,2021-11-20 13:24:00
58564.57,2021-11-20 13:25:00
58590.7,2021-11-20 13:26:00
58595.87,2021-11-20 13:27:00
58567.63,2021-11-20 13:28:00
58571.38,2021-11-20 13:29:00
58574.6,2021-11-20 13:30:00
58545.76,2021-11-20 13:31:00
58557.25,2021-11-20 13:32:00
58552.4,2021-11-20 13:33:00
58519.04,2021-11-20 13:34:00
58509.43,2021-11-20 13:35:00
58500.01,2021-11-20 13:36:00
58446.38,2021-11-20 13:37:00
58457.24,2021-11-20 13:38:00
58430.0,2021-11-20 13:39:00
58414.19,2021-11-20 13:40:00
58431.47,2021-11-20 13:41:00
58433.72,2021-11-20 13:42:00
58467.84,2021-11-20 13:43:00
58463.34,2021-11-20 13:44:00
58468.34,2021-11-20 13:45:00
58461.66,2021-11-20 13:46:00
58457.99,2021-11-20 13:47:00
58411.0,2021-11-20 13:48:00
58420.2,2021-11-20 13:49:00
58399.93,2021-11-20 13:50:00
58375.9,2021-11-20 13:51:00
58407.56,2021-11-20 13:52:00
58425.94,2021-11-20 13:53:00
58448.91,2021-11-20 13:54:00
58441.97,2021-11-20 13:55:00
58483.32,2021-11-20 13:56:00
58464.18,2021-11-20 13:57:00
58439.12,2021-11-20 13:58:00
58467.96,2021-11-20 13:59:00
58501.43,2021-11-20 14:00:00
58494.66,2021-11-20 14:01:00
58498.73,2021-11-20 14:02:00
58488.36,2021-11-20 14:03:00
58407.42,2021-11-20 14:04:00
58390.47,2021-11-20 14:05:00
58332.15,2021-11-20 14:06:00
58378.53,2021-11-20 14:07:00
58450.0,2021-11-20 14:08:00
58500.01,2021-11-20 14:09:00
58536.11,2021-11-20 14:10:00
58559.01,2021-11-20 14:11:00
58534.81,2021-11-20 14:12:00
58523.54,2021-11-20 14:13:00
58522.89,2021-11-20 14:14:00
58545.94,2021-11-20 14:15:00
58584.0,2021-11-20 14:16:00
58600.0,2021-11-20 14:17:00
58598.14,2021-11-20 14:18:00
58611.75,2021-11-20 14:19:00
58586.8,2021-11-20 14:20:00
58621.54,2021-11-20 14:21:00
58683.08,2021-11-20 14:22:00
58579.5,2021-11-20 14:23:00
58585.59,2021-11-20 14:24:00
58545.42,2021-11-20 14:25:00
58504.5,2021-11-20 14:26:00
58450.02,2021-11-20 14:27:00
58412.97,2021-11-20 14:28:00
58366.9,2021-11-20 14:29:00
58367.04,2021-11-20 14:30:00
58400.01,2021-11-20 14:31:00
58396.62,2021-11-20 14:32:00
58399.33,2021-11-20 14:33:00
58390.01,2021-11-20 14:34:00
58423.02,2021-11-20 14:35:00
58425.16,2021-11-20 14:36:00
58494.99,2021-11-20 14:37:00
58481.88,2021-11-20 14:38:00
58454.5,2021-11-20 14:39:00
58413.61,2021-11-20 14:40:00
58404.69,2021-11-20 14:41:00
58411.01,2021-11-20 14:42:00
58414.81,2021-11-20 14:43:00
58440.79,2021-11-20 14:44:00
58435.88,2021-11-20 14:45:00
58431.72,2021-11-20 14:46:00
58432.32,2021-11-20 14:47:00
58471.03,2021-11-20 14:48:00
58476.66,2021-11-20 14:49:00
58488.74,2021-11-20 14:50:00
58425.01,2021-11-20 14:51:00
58419.0,2021-11-20 14:52:00
58363.82,2021-11-20 14:53:00
58386.82,2021-11-20 14:54:00
58403.6,2021-11-20 14:55:00
58341.77,2021-11-20 14:56:00
58347.93,2021-11-20 14:57:00
58334.1,2021-11-20 14:58:00
58340.41,2021-11-20 14:59:00
58330.9,2021-11-20 15:00:00
58319.09,2021-11-20 15:01:00
58292.71,2021-11-20 15:02:00
58213.81,2021-11-20 15:03:00
58058.24,2021-11-20 15:04:00
57889.22,2021-11-20 15:05:00
57844.32,2021-11-20 15:06:00
57822.87,2021-11-20 15:07:00
57914.95,2021-11-20 15:08:00
57982.75,2021-11-20 15:09:00
57868.64,2021-11-20 15:10:00
57907.61,2021-11-20 15:11:00
57905.58,2021-11-20 15:12:00
57839.97,2021-11-20 15:13:00
57866.64,2021-11-20 15:14:00
57809.2,2021-11-20 15:15:00
57951.45,2021-11-20 15:16:00
57932.0,2021-11-20 15:17:00
57909.23,2021-11-20 15:18:00
57856.22,2021-11-20 15:19:00
57891.62,2021-11-20 15:20:00
57921.46,2021-11-20 15:21:00
57970.26,2021-11-20 15:22:00
58019.04,2021-11-20 15:23:00
58005.82,2021-11-20 15:24:00
57996.78,2021-11-20 15:25:00
57973.75,2021-11-20 15:26:00
57913.96,2021-11-20 15:27:00
57913.03,2021-11-20 15:28:00
57906.36,2021-11-20 15:29:00
57923.71,2021-11-20 15:30:00
57920.46,2021-11-20 15:31:00
58000.61,2021-11-20 15:32:00
57883.51,2021-11-20 15:33:00
57931.99,2021-11-20 15:34:00
57917.89,2021-11-20 15:35:00
57907.05,2021-11-20 15:36:00
