Close,Date
223.45,2015-04-19 00:07:00
221.6,2015-04-20 00:07:00
224.21,2015-04-21 00:07:00
235.87,2015-04-22 00:07:00
234.09,2015-04-23 00:07:00
235.51,2015-04-24 00:07:00
231.23,2015-04-25 00:07:00
226.62,2015-04-26 00:07:00
219.99,2015-04-27 00:07:00
226.9,2015-04-28 00:07:00
225.3,2015-04-29 00:07:00
225.45,2015-04-30 00:07:00
235.51,2015-05-01 00:07:00
236.23,2015-05-02 00:07:00
236.23,2015-05-03 00:07:00
236.23,2015-05-04 00:07:00
236.23,2015-05-05 00:07:00
236.23,2015-05-06 00:07:00
236.23,2015-05-07 00:07:00
236.23,2015-05-08 00:07:00
236.23,2015-05-09 00:07:00
236.23,2015-05-10 00:07:00
236.23,2015-05-11 00:07:00
236.23,2015-05-12 00:07:00
236.23,2015-05-13 00:07:00
236.23,2015-05-14 00:07:00
236.23,2015-05-15 00:07:00
236.23,2015-05-16 00:07:00
236.23,2015-05-17 00:07:00
236.23,2015-05-18 00:07:00
236.23,2015-05-19 00:07:00
236.23,2015-05-20 00:07:00
236.23,2015-05-21 00:07:00
236.23,2015-05-22 00:07:00
236.23,2015-05-23 00:07:00
236.23,2015-05-24 00:07:00
236.23,2015-05-25 00:07:00
236.23,2015-05-26 00:07:00
236.23,2015-05-27 00:07:00
236.23,2015-05-28 00:07:00
236.23,2015-05-29 00:07:00
236.23,2015-05-30 00:07:00
236.23,2015-05-31 00:07:00
228.22,2015-06-01 00:07:00
222.1,2015-06-02 00:07:00
224.67,2015-06-03 00:07:00
225.11,2015-06-04 00:07:00
223.23,2015-06-05 00:07:00
224.78,2015-06-06 00:07:00
225.83,2015-06-07 00:07:00
223.27,2015-06-08 00:07:00
228.6,2015-06-09 00:07:00
228.91,2015-06-10 00:07:00
228.64,2015-06-11 00:07:00
230.06,2015-06-12 00:07:00
229.07,2015-06-13 00:07:00
233.06,2015-06-14 00:07:00
233.5,2015-06-15 00:07:00
237.03,2015-06-16 00:07:00
250.89,2015-06-17 00:07:00
249.16,2015-06-18 00:07:00
250.01,2015-06-19 00:07:00
244.0,2015-06-20 00:07:00
245.26,2015-06-21 00:07:00
243.89,2015-06-22 00:07:00
246.87,2015-06-23 00:07:00
244.18,2015-06-24 00:07:00
240.02,2015-06-25 00:07:00
241.99,2015-06-26 00:07:00
243.18,2015-06-27 00:07:00
250.86,2015-06-28 00:07:00
248.67,2015-06-29 00:07:00
256.67,2015-06-30 00:07:00
263.07,2015-07-01 00:07:00
258.14,2015-07-02 00:07:00
254.52,2015-07-03 00:07:00
256.48,2015-07-04 00:07:00
260.38,2015-07-05 00:07:00
270.89,2015-07-06 00:07:00
270.61,2015-07-07 00:07:00
265.26,2015-07-08 00:07:00
269.54,2015-07-09 00:07:00
268.79,2015-07-10 00:07:00
284.24,2015-07-11 00:07:00
293.41,2015-07-12 00:07:00
311.5,2015-07-13 00:07:00
291.9,2015-07-14 00:07:00
289.14,2015-07-15 00:07:00
286.5,2015-07-16 00:07:00
279.2,2015-07-17 00:07:00
279.9,2015-07-18 00:07:00
277.2,2015-07-19 00:07:00
